Timestamp,Token,Symbol,Action,Price,Quantity,SL,TP,PNL,Reason,DailyPNL
2025-05-29 15:16:15,58570,BANKNIFTY29MAY2555500PE,BUY,4.20,30,117.88,-223.16,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10185.50
2025-05-29 15:16:16,58570,BANKNIFTY29MAY2555500PE,SELL,3.65,30,N/A,N/A,16.50,Support Hit (PE),10202.00
2025-05-29 15:16:19,58570,BANKNIFTY29MAY2555500PE,BUY,4.35,30,118.03,-223.01,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10202.00
2025-05-29 15:16:21,58570,BANKNIFTY29MAY2555500PE,SELL,3.90,30,N/A,N/A,13.50,Support Hit (PE),10215.50
2025-05-29 15:16:22,58570,BANKNIFTY29MAY2555500PE,BUY,4.05,30,117.73,-223.31,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10215.50
2025-05-29 15:16:22,58570,BANKNIFTY29MAY2555500PE,SELL,3.70,30,N/A,N/A,10.50,Support Hit (PE),10226.00
2025-05-29 15:16:23,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,137.50,Support Hit (PE),10363.50
2025-05-29 15:16:25,58570,BANKNIFTY29MAY2555500PE,BUY,4.10,30,117.78,-223.26,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10363.50
2025-05-29 15:16:26,58570,BANKNIFTY29MAY2555500PE,SELL,3.95,30,N/A,N/A,4.50,Support Hit (PE),10368.00
2025-05-29 15:17:03,114713,LT29MAY253620PE,SELL,0.20,150,N/A,N/A,30.00,Support Hit (PE),10398.00
2025-05-29 15:17:11,58572,BANKNIFTY29MAY2555600PE,BUY,72.25,30,193.47,-170.19,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10398.00
2025-05-29 15:17:12,58572,BANKNIFTY29MAY2555600PE,SELL,69.90,30,N/A,N/A,70.50,Support Hit (PE),10468.50
2025-05-29 15:17:14,58572,BANKNIFTY29MAY2555600PE,BUY,73.70,30,194.92,-168.74,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10468.50
2025-05-29 15:17:33,58572,BANKNIFTY29MAY2555600PE,SELL,70.05,30,N/A,N/A,109.50,Support Hit (PE),10578.00
2025-05-29 15:17:36,58572,BANKNIFTY29MAY2555600PE,BUY,71.30,30,192.52,-171.14,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10578.00
2025-05-29 15:17:38,58572,BANKNIFTY29MAY2555600PE,SELL,69.55,30,N/A,N/A,52.50,Support Hit (PE),10630.50
2025-05-29 15:17:52,58572,BANKNIFTY29MAY2555600PE,BUY,71.55,30,192.77,-170.89,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10630.50
2025-05-29 15:17:53,58572,BANKNIFTY29MAY2555600PE,SELL,70.05,30,N/A,N/A,45.00,Support Hit (PE),10675.50
2025-05-29 15:17:54,93802,HDFCBANK29MAY251940PE,SELL,8.80,550,N/A,N/A,852.50,Support Hit (PE),11528.00
2025-05-29 15:17:54,58572,BANKNIFTY29MAY2555600PE,BUY,71.10,30,192.32,-171.34,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),11528.00
2025-05-29 15:18:03,114715,LT29MAY253640PE,SELL,0.15,150,N/A,N/A,112.50,Support Hit (PE),11640.50
2025-05-29 15:18:04,58572,BANKNIFTY29MAY2555600PE,SELL,70.40,30,N/A,N/A,21.00,Support Hit (PE),11661.50
2025-05-29 15:18:06,58572,BANKNIFTY29MAY2555600PE,BUY,71.30,30,192.52,-171.14,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),11661.50
2025-05-29 15:18:16,99985,KOTAKBANK29MAY252080PE,BUY,0.80,400,7.99,-13.59,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),11661.50
2025-05-29 15:18:21,114715,LT29MAY253640PE,BUY,0.95,150,9.81,-16.76,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),11661.50
2025-05-29 15:18:21,58572,BANKNIFTY29MAY2555600PE,SELL,70.15,30,N/A,N/A,34.50,Support Hit (PE),11696.00
2025-05-29 15:18:38,114715,LT29MAY253640PE,SELL,0.15,150,N/A,N/A,120.00,Support Hit (PE),11816.00
2025-05-29 15:18:55,114713,LT29MAY253620PE,BUY,0.40,150,5.51,-9.82,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),11816.00
2025-05-29 15:19:45,99985,KOTAKBANK29MAY252080PE,SELL,0.05,400,N/A,N/A,300.00,Support Hit (PE),12116.00
2025-05-29 15:20:31,58572,BANKNIFTY29MAY2555600PE,BUY,71.20,30,192.42,-171.24,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),12116.00
2025-05-29 15:20:35,58572,BANKNIFTY29MAY2555600PE,SELL,70.15,30,N/A,N/A,31.50,Support Hit (PE),12147.50
2025-05-29 15:21:33,114713,LT29MAY253620PE,SELL,0.20,150,N/A,N/A,30.00,Support Hit (PE),12177.50
2025-05-29 15:21:38,112089,KOTAKBANK29MAY252060PE,BUY,0.15,400,3.74,-7.03,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),12177.50
2025-05-29 15:22:09,112089,KOTAKBANK29MAY252060PE,SELL,0.10,400,N/A,N/A,20.00,Support Hit (PE),12197.50
2025-05-29 15:22:30,114715,LT29MAY253640PE,BUY,0.90,150,9.76,-16.81,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),12197.50
2025-05-29 15:23:45,114713,LT29MAY253620PE,BUY,0.40,150,5.51,-9.82,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),12197.50
2025-05-29 15:23:49,112089,KOTAKBANK29MAY252060PE,BUY,0.25,400,3.84,-6.93,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),12197.50
2025-05-29 15:24:44,114713,LT29MAY253620PE,SELL,0.10,150,N/A,N/A,45.00,Support Hit (PE),12242.50
2025-05-29 15:27:01,114715,LT29MAY253640PE,SELL,0.15,150,N/A,N/A,112.50,Support Hit (PE),12355.00
2025-05-29 15:27:47,112089,KOTAKBANK29MAY252060PE,SELL,0.05,400,N/A,N/A,80.00,Support Hit (PE),12435.00
2025-05-29 15:40:25,105766,INFY29MAY251580CE,SELL,20.55,400,N/A,N/A,0.00,Shutdown Signal: SIGINT,12435.00
2025-05-29 15:40:25,69892,BAJFINANCE29MAY259200PE,SELL,43.00,125,N/A,N/A,0.00,Shutdown Signal: SIGINT,12435.00
